,ndoi,smscg,tide
11/27/1923,5601.762678,1,5.631599903
11/28/1923,5603.135671,1,5.151400089
11/29/1923,5604.447548,1,4.636400223
11/30/1923,5605.727208,1,4.47110033
12/1/1923,5607.003552,1,4.493599892
12/2/1923,5608.305479,1,4.535599709
12/3/1923,5609.661891,1,4.795599937
12/4/1923,5611.101688,1,5.936599731
12/5/1923,5612.653768,1,7.01240015
12/6/1923,5614.347034,1,7.8604002
12/7/1923,5616.210385,1,8.444499969
12/8/1923,5618.27272,1,8.558799744
12/9/1923,5620.562941,1,8.280399323
12/10/1923,5623.109947,1,7.709700108
12/11/1923,5625.942639,1,6.87130022
12/12/1923,5629.089917,1,5.818200111
12/13/1923,5632.580681,1,5.086900234
12/14/1923,5636.443831,1,4.655600071
12/15/1923,5640.708268,1,4.282299995
12/16/1923,5647.686041,1,4.03429985
12/17/1923,5670.722815,1,4.554900169
12/18/1923,5711.154064,1,5.153700352
12/19/1923,5767.989654,1,5.576600075
12/20/1923,5840.239453,1,6.0625
12/21/1923,5926.913324,1,6.317200184
12/22/1923,6027.021136,1,6.610099792
12/23/1923,6139.572752,1,6.670600414
12/24/1923,6263.57804,1,6.653100014
12/25/1923,6398.046865,1,6.48239994
12/26/1923,6541.989093,1,6.054399967
12/27/1923,6694.41459,1,5.536200047
12/28/1923,6854.333222,1,4.878799915
12/29/1923,7020.754855,1,4.675600052
12/30/1923,7192.689355,1,4.475200176
12/31/1923,7369.146588,1,4.354999542
1/1/1924,7549.136419,1,5.35710001
1/2/1924,7731.668715,1,6.380199909
1/3/1924,7915.753341,1,7.348700047
1/4/1924,8100.400164,1,8.049699783
1/5/1924,8284.619049,1,8.374500275
1/6/1924,8467.419862,1,8.350099564
1/7/1924,8647.812469,1,8.073800087
1/8/1924,8824.806737,1,7.449399948
1/9/1924,8997.41253,1,6.48210001
1/10/1924,9164.639716,1,5.402100086
1/11/1924,9325.498159,1,4.777699947
1/12/1924,9478.997726,1,4.215899944
1/13/1924,9624.148283,1,3.705699921
1/14/1924,9759.959695,1,3.81619978
1/15/1924,9885.441829,1,4.269500256
1/16/1924,10001.61745,1,4.853600025
1/17/1924,10119.74463,1,5.419199944
1/18/1924,10241.28266,1,5.829800129
1/19/1924,10365.69689,1,6.318600178
1/20/1924,10492.45268,1,6.634199619
1/21/1924,10621.01539,1,6.770699978
1/22/1924,10750.85039,1,6.848799706
1/23/1924,10881.42303,1,6.603899956
1/24/1924,11012.19867,1,6.137900352
1/25/1924,11142.64267,1,5.440899849
1/26/1924,11272.22039,1,4.944700241
1/27/1924,11400.3972,1,4.552100182
1/28/1924,11526.63844,1,4.257400036
1/29/1924,11650.40949,1,4.932099819
1/30/1924,11771.1757,1,5.697100163
1/31/1924,11888.40243,1,6.451900005
2/1/1924,12001.55504,1,7.097199917
2/2/1924,12110.09889,1,7.51970005
2/3/1924,12213.49934,1,7.686200142
2/4/1924,12311.22175,1,7.625899792
2/5/1924,12402.73148,1,7.278999805
2/6/1924,12487.49389,1,6.602399826
2/7/1924,12564.97434,1,5.764100075
2/8/1924,12634.63819,1,4.878499985
2/9/1924,12695.9508,1,4.248000145
2/10/1924,12748.37753,1,3.663199902
2/11/1924,12791.38374,1,3.531900167
2/12/1924,12824.43479,1,3.64109993
2/13/1924,12846.99603,1,3.925800323
2/14/1924,12858.53284,1,4.354800224
2/15/1924,12858.21464,1,4.873399734
2/16/1924,12844.22171,1,5.449100018
2/17/1924,12816.97681,1,5.904699802
2/18/1924,12777.25312,1,6.263800144
2/19/1924,12725.82379,1,6.547600269
2/20/1924,12663.46202,1,6.546299934
2/21/1924,12590.94097,1,6.278600216
2/22/1924,12509.03381,1,5.628000259
2/23/1924,12418.51372,1,5.112100124
2/24/1924,12320.15387,1,4.781000137
2/25/1924,12214.72743,1,4.949800014
2/26/1924,12103.00758,1,5.120100021
